iter	RMSE
217	0.4775787855
218	0.4764639354
219	0.4752572012
220	0.474087661
221	0.4729485065
222	0.4691581356
223	0.4681355454
224	0.4656467192
225	0.4646617324
226	0.4636974129
227	0.4607450006
228	0.459892725
229	0.4589931463
230	0.4561716928
231	0.4553083432
232	0.4523692376
233	0.4515201933
234	0.4506975084
235	0.447150463
236	0.4462890568
237	0.4455023113
238	0.4447322163
239	0.4419513439
240	0.4412184122
241	0.4405074052
242	0.4377141952
243	0.4352165751
244	0.4329610864
245	0.4323565691
246	0.4316868583
247	0.4310949698
248	0.4304457212
249	0.4298089959
250	0.4281832145
251	0.4274989242
252	0.4268918807
253	0.4262926398
254	0.4246957948
255	0.4241084926
256	0.421514301
257	0.4210210856
258	0.4184489709
259	0.4178975545
260	0.4158222723
261	0.4152955564
262	0.4148423373
263	0.414313184
264	0.4119969422
265	0.4115627901
266	0.4111373425
267	0.4106586959
268	0.4078075123
269	0.4050860247
270	0.4046876071
271	0.4042533457
272	0.4020755137
273	0.4016944029
274	0.4000217034
275	0.3995615767
276	0.3991100419
277	0.397061674
278	0.3950861117
279	0.3947356642
280	0.3935061352
281	0.3913637503
282	0.3909406318
283	0.3892580165
284	0.3880099793
285	0.3876891962
286	0.3871562765
287	0.3868470012
288	0.3853395848
289	0.3844166593
290	0.3828240824
291	0.3816295001
292	0.3807690756
293	0.3789695913
294	0.3785469343
295	0.3783244303
296	0.3770955257
297	0.3753616775
298	0.3729654045
299	0.3725720445
300	0.3711387855
301	0.3709348894
302	0.3707392289
303	0.3683641181
304	0.36685094
305	0.3661253043
306	0.3642200944
307	0.363367798
308	0.363144074
309	0.3627614757
310	0.3605979516
311	0.3600702001
312	0.3586246971
313	0.3579914122
314	0.3573776132
315	0.3568728774
316	0.3561431561
317	0.355471974
318	0.3538508664
319	0.3523978829
320	0.35219518
321	0.3515053538
322	0.3503651966
323	0.3501963501
324	0.3490839073
325	0.3479876138
326	0.3467781676
327	0.3451058067
328	0.3435694784
329	0.3424673723
330	0.3413591041
331	0.3403387986
332	0.3385692584
333	0.3372593675
334	0.3361175157
335	0.3351418748
336	0.3346549232
337	0.3334152779
338	0.3327515748
339	0.3317420978
340	0.3304577434
341	0.3297020135
342	0.3294041237
343	0.3284929341
344	0.3271981142
345	0.3264182402
346	0.3252619153
347	0.3249167982
348	0.3243966692
349	0.3236241413
350	0.3232255397
351	0.3218688824
352	0.3214445126
353	0.321054508
354	0.3209460212
355	0.319988332
356	0.3198815924
357	0.3188315988
358	0.3180830062
359	0.3168360698
360	0.3167084763
361	0.3153662045
362	0.3143432424
363	0.3133638572
364	0.3123942384
365	0.3113157709
366	0.3109272045
367	0.3103477408
368	0.3092037985
369	0.3086211453
370	0.3077077056
371	0.3072785495
372	0.3063150734
373	0.3055064261
374	0.3045562382
375	0.3033669672
376	0.3032229293
377	0.3022451136
378	0.3014015144
379	0.3003580975
380	0.2995138202
381	0.2983588467
382	0.2972548031
383	0.296677713
384	0.2959384059
385	0.2953609161
386	0.2944052376
387	0.2936451472
388	0.293093182
389	0.2920186117
390	0.2913671946
391	0.290401089
392	0.2896733993
393	0.2887489323
394	0.2882352189
395	0.2873033288
396	0.2867353891
397	0.286468189
398	0.2860013613
399	0.2848668324
400	0.2839903809
401	0.2829904726
402	0.2824077577
403	0.2814878164
404	0.281073214
405	0.2801599137
406	0.2793505634
407	0.2786997876
408	0.2784805276
409	0.2776551366
410	0.2766044127
411	0.2756761368
412	0.2750540415
413	0.2741827753
414	0.2735869587
415	0.2725382315
416	0.2717952248
417	0.2709723863
418	0.2698155896
419	0.2695867944
420	0.2688001725
421	0.2682495777
422	0.2678424047
423	0.2673172939
424	0.2670972282
425	0.266897872
426	0.2660148664
427	0.2656133734
428	0.2647142058
429	0.2643087112
430	0.2637965114
431	0.2632381582
432	0.2628488168
433	0.2619891389
434	0.2615092477
435	0.2609914045
436	0.2604151324
437	0.2599249367
438	0.2592046676
439	0.2583298184
440	0.2580141429
441	0.2575747451
442	0.2568883222
443	0.2562422248
444	0.2557262915
445	0.2549565902
446	0.2547543672
447	0.2543773768
448	0.2537524688
449	0.2535587273
450	0.2528057904
451	0.2523132985
452	0.2513078717
453	0.2509547767
454	0.2507687211
455	0.2501371021
456	0.2494136534
457	0.2489612948
458	0.248347587
459	0.2474968152
460	0.2469507176
461	0.2464822888
462	0.2461449583
463	0.2458698524
464	0.2453004585
465	0.2444807307
466	0.2442025685
467	0.2440334506
468	0.2438905114
469	0.2436411216
470	0.2433086463
471	0.2425693615
472	0.2421627845
473	0.2417879836
474	0.2416339185
475	0.2409929761
476	0.2406359022
477	0.2401192362
478	0.2399905907
479	0.2394458811
480	0.2386692195
481	0.2379215605
482	0.2373682231
483	0.2372420483
484	0.2368380981
485	0.2366227271
486	0.2360119892
487	0.2358799529
488	0.2353692976
489	0.2347293041
490	0.2342960832
491	0.234168451
492	0.2335956035
493	0.2329937397
494	0.2324704299
495	0.2317377769
496	0.2313968145
497	0.2311678863
498	0.2310556313
499	0.2304591217
500	0.2301008861
501	0.2297386797
502	0.2296280397
503	0.2290813679
504	0.2287751417
505	0.228451374
506	0.2279831605
507	0.2276298171
508	0.2274292107
509	0.2267280929
510	0.2265458476
511	0.2261028685
512	0.2258149943
513	0.2255754609
514	0.2253014911
515	0.2250916592
516	0.2244633966
517	0.2240075539
518	0.2234607206
519	0.2231672975
520	0.2227296944
521	0.2224423489
522	0.2219839928
523	0.2218132021
524	0.2213096659
525	0.2212101195
526	0.2206554102
527	0.220260857
528	0.2200159624
529	0.2199029799
530	0.2197214072
531	0.2194889233
532	0.2189753093
533	0.2187527912
534	0.2180878292
535	0.2176502222
536	0.2170602109
537	0.2169717213
538	0.2163833721
539	0.2162967128
540	0.2156986825
541	0.2152252879
542	0.2148225453
543	0.2146898353
544	0.2144520378
545	0.214370012
546	0.2140408421
547	0.2139513429
548	0.2133296417
549	0.2130962741
550	0.2128597644
551	0.2126233189
552	0.2121972027
553	0.2116580452
554	0.2114362341
555	0.2110089132
556	0.2108060876
557	0.2107117973
558	0.210554974
559	0.2100043494
560	0.2095537928
561	0.2091725818
562	0.2089368774
563	0.2083051291
564	0.208019164
565	0.2075936944
566	0.2075175945
567	0.2071240603
568	0.2065501716
569	0.2063155576
570	0.2059118077
571	0.2057647051
572	0.2055400779
573	0.2053779588
574	0.2052949177
575	0.2050252321
576	0.2048128152
577	0.2043885325
578	0.204316506
579	0.2042459917
580	0.2040962165
581	0.2035440088
582	0.2034044613
583	0.2030676344
584	0.2029884121
585	0.2026798634
586	0.202157064
587	0.2020231645
588	0.2018788209
589	0.201814355
590	0.2016290015
591	0.2015019678
592	0.201132689
593	0.200784046
594	0.2003145242
595	0.1998726063
596	0.1995301234
597	0.1991405767
598	0.1990768696
599	0.1986958092
600	0.1983490451
601	0.1981125842
602	0.1978377844
603	0.1976518377
604	0.1973375358
605	0.1968965077
606	0.1967234705
607	0.1963138465
608	0.1960414221
609	0.1958163946
610	0.1954898046
611	0.1953801083
612	0.1950716779
613	0.1947968343
614	0.1944248476
615	0.1943418705
616	0.1941226303
617	0.1940477299
618	0.1936818532
619	0.1934350473
620	0.193001805
621	0.1925247957
622	0.1923472285
623	0.1921264572
624	0.1920121748
625	0.1918791833
626	0.191793692
627	0.1914246098
628	0.1908152074
629	0.1904498065
630	0.1901401817
631	0.1899157173
632	0.1896126719
633	0.1894831552
634	0.1890523295
635	0.1889550037
636	0.1883447036
637	0.187914247
638	0.1877054931
639	0.1875567156
640	0.1874598255
641	0.1873926844
642	0.1870494152
643	0.186853941
644	0.1867384757
645	0.1862884874
646	0.1861970502
647	0.1857934893
648	0.1855272908
649	0.1854305213
650	0.1848451191
651	0.1844537191
652	0.1842288258
653	0.183742173
654	0.1835587448
655	0.1832702518
656	0.1830642786
657	0.1827896909
658	0.1824147978
659	0.1823579721
660	0.1823146641
661	0.1821128727
662	0.181927732
663	0.1818101363
664	0.1814523928
665	0.1810875612
666	0.1810038576
667	0.1807583125
668	0.1805102967
669	0.1804456907
670	0.1800661108
671	0.1799005164
672	0.179566181
673	0.1793276774
674	0.1792821017
675	0.1790035239
676	0.1787464974
677	0.1785208142
678	0.1782618641
679	0.1781644659
680	0.1778416573
681	0.1777995519
682	0.177494376
683	0.1771098376
684	0.1766507424
685	0.1764292975
686	0.1762753634
687	0.175902181
688	0.1755573853
689	0.1753391674
690	0.1752386375
691	0.1751615014
692	0.174870584
693	0.1745179024
694	0.1743797273
695	0.1739821176
696	0.1738424929
697	0.1735921029
698	0.173169556
699	0.1730434982
700	0.1727041274
701	0.1725592869
702	0.1724121347
703	0.1722553364
704	0.1719469184
705	0.1716531986
706	0.1714326207
707	0.170905991
708	0.1706499586
709	0.1702601696
710	0.1700005384
711	0.1697153492
712	0.1694624603
713	0.1692550739
714	0.1691755427
715	0.1687519242
716	0.1684939754
717	0.1683902981
718	0.1682013441
719	0.16793335
720	0.1677454336
721	0.1676189249
722	0.1675404363
723	0.167331743
724	0.167017533
725	0.1669594199
726	0.1669039664
727	0.1666306621
728	0.1663567725
729	0.1660502986
730	0.1658955627
731	0.1658197365
732	0.1656784447
733	0.1655437475
734	0.1652240775
735	0.1651194523
736	0.1646631216
737	0.1644635971
738	0.1644191644
739	0.1642012234
740	0.1639642906
741	0.1637504309
742	0.1635945413
743	0.163282862
744	0.1630644103
745	0.162810992
746	0.1624473795
747	0.1624218113
748	0.1623653737
749	0.1622879493
750	0.1620762903
751	0.1616426874
752	0.1611755568
753	0.1610462014
754	0.1610123865
755	0.16072927
756	0.1605079956
757	0.1604090588
758	0.1600147165
759	0.159742668
760	0.1596133466
761	0.1593677271
762	0.159170202
763	0.159006886
764	0.1587889492
765	0.1586903035
766	0.1586593846
767	0.1586347712
768	0.1581829425
769	0.1579518711
770	0.1577286832
771	0.1577006076
772	0.157382065
773	0.1572298729
774	0.1571249622
775	0.1566852174
776	0.1564535605
777	0.1563748679
778	0.1563441701
779	0.1562473842
780	0.1559306341
781	0.1558245489
782	0.1554050238
783	0.1551361482
784	0.154955823
785	0.1548444167
786	0.1545159779
787	0.1543308338
788	0.1540380418
789	0.1537235365
790	0.1535499413
791	0.1533721309
792	0.1533420881
793	0.1530516751
794	0.1528807447
795	0.1527873261
796	0.1526566817
797	0.1524886875
798	0.1523836527
799	0.1522682343
800	0.1521091212
801	0.1518635116
802	0.1517190263
803	0.1513131819
804	0.1509579924
805	0.1508203223
806	0.1507327556
807	0.1505325316
808	0.1503308164
809	0.1502407371
810	0.1498730753
811	0.1498485398
812	0.1494961874
813	0.1493238878
814	0.1490447646
815	0.1487936977
816	0.148546219
817	0.1485168214
818	0.1482272145
819	0.1480377138
820	0.1479463534
821	0.1478230268
822	0.1476011594
823	0.1474784951
824	0.1470846654
825	0.1468881271
826	0.1467314442
827	0.1466161525
828	0.146596386
829	0.1463401717
830	0.1463207892
831	0.1461254835
832	0.1460563783
833	0.1458671759
834	0.1455286776
835	0.1454550759
836	0.145307019
837	0.1451165493
838	0.1450095279
839	0.1448831467
840	0.1445550021
841	0.144193303
842	0.1440309749
843	0.1437234294
844	0.1436582359
845	0.1434762036
846	0.1432827178
847	0.1432092544
848	0.1431558052
849	0.1428995609
850	0.1427780013
851	0.1426153989
852	0.1422969896
853	0.1422020586
854	0.1420711364
855	0.1419159788
856	0.1416336735
857	0.1414464728
858	0.1414134564
859	0.1412873279
860	0.1412291599
861	0.141076042
862	0.1407741027
863	0.1405577724
864	0.1404309816
865	0.1402109441
866	0.1400876348
867	0.1399853698
868	0.1396806902
869	0.1393736766
870	0.1391805768
871	0.1390632097
872	0.1389787215
873	0.1389445444
874	0.1386350239
875	0.1385594458
876	0.1383268609
877	0.1381665463
878	0.1380761629
879	0.1379197473
880	0.1378086231
881	0.1377544341
882	0.1376746769
883	0.1373731334
884	0.1371768649
885	0.137010783
886	0.1367974681
887	0.1367416266
888	0.1366535343
889	0.1364394218
890	0.1363863632
891	0.1361592576
892	0.1359990807
893	0.1358417764
894	0.1356797036
895	0.1356214191
896	0.1354624206
897	0.1352378508
898	0.1349346561
899	0.1348539746
900	0.1347021089
901	0.1345155451
902	0.1342851499
903	0.1340073948
904	0.1337656041
905	0.1336002884
906	0.133310322
907	0.133135396
908	0.1330203628
909	0.1328038161
910	0.1327473017
911	0.132694494
912	0.1326074561
913	0.1324313812
914	0.1322832592
915	0.1321759866
916	0.1319387035
917	0.1317595113
918	0.1316360846
919	0.1315670279
920	0.1313939167
921	0.131125985
922	0.131074527
923	0.1310342864
924	0.1309576446
925	0.1306932885
926	0.1306172837
927	0.1303710915
928	0.1302237399
929	0.1299440836
930	0.1297238442
931	0.1294909349
932	0.129350315
933	0.1291786124
934	0.129141883
935	0.1290956458
936	0.1289648958
937	0.1289159003
938	0.1288169023
939	0.1287179844
940	0.1286142809
941	0.1284873151
942	0.1283934199
943	0.1282232596
944	0.1281241979
945	0.1280494342
946	0.1279292849
947	0.1278780965
948	0.1278131743
949	0.1277451749
950	0.1275074468
951	0.127373407
952	0.127149248
953	0.1269031274
954	0.1267938394
955	0.1266822714
956	0.1265445383
957	0.1264545038
958	0.1263870139
959	0.1263417243
960	0.1261997117
961	0.1261285319
962	0.1258888382
963	0.1257318359
964	0.1255956833
965	0.1254352912
966	0.1254048117
967	0.1252894242
968	0.1252291927
969	0.1250899294
970	0.1249728002
971	0.1248211644
972	0.1246832303
973	0.1246276945
974	0.1244119417
975	0.1242364454
976	0.1240383126
977	0.123866176
978	0.1236648344
979	0.1236134933
980	0.1235104992
981	0.1234593555
982	0.1232310565
983	0.123060092
984	0.1229518979
985	0.1227982566
986	0.1225592903
987	0.1224487861
988	0.1222656723
989	0.12220618
990	0.1221063439
991	0.1218781971
992	0.1217233874
993	0.1216867868
994	0.1215475976
995	0.1214146758
996	0.1212821705
997	0.1211764109
998	0.1210368002
999	0.1208490318
